,searchTime,keyword,maxPage,jobAnnounceDate,jobTitles,jobCompanyName,jobCompanyUrl,jobCompanyIndustry,jobContent,jobCategory,jobSalary,jobLocation,jobRqYear,jobRqEducation,jobRqDepartment,jobSpecialty,jobOthers,jobDetailUrl
3,2021-02-14 17:58:06,數據分析師,25,1/26,企業金融數據分析師,經濟體股份有限公司,https://www.104.com.tw/company/1a2x6bkzf2?jobsource=jolist_a_relevance,電腦系統整合服務業,"1. 利用借款企業的內部數據及外部數據，透過數據分析或機器學習方法，建立企業信用風險模型
2. 以數據出發，分析借款企業的營運及信用狀況
3. 財務報表分析
4. 實地訪查企業，以了解借款企業實際的經營狀況，完善客戶畫像","統計精算人員,統計學研究員,金融研究員","年薪700,000~1,500,000元",台北市松山區,經歷不拘,大學,,Python,"1. 具備財務分析、風險管理、或授信審查的工作經驗尤佳
2. 擁有數據分析的經驗，請附上作品 ( 必要條件 )
3. 懂機器學習演算法 (監督式及非監督式學習)、資料視覺化
4. 良好的學習意願和學習能力，能夠快速掌握工作所需技能
5. 良好的溝通能力",https://www.104.com.tw/job/7638n?jobsource=jolist_a_relevance
4,2021-02-14 17:58:06,數據分析師,25,1/15,【數據發展部】數據分析師,聯合報股份有限公司,https://www.104.com.tw/company/1quaxzk?jobsource=jolist_a_relevance,其他出版業,"本職務主要是透過各種客戶行為資料，分析客戶行為特徵，找出客戶行為模式，即時及預測客戶的需要，提供客戶所需的服務及產品，協助集團數據分析與應用的發展及相關業務單位數據應用建議。
除了專業分析技能外，對於分析後的結果解讀及應用設計更為重要。
主要工作包括—
1.	建立、分析現有顧客與潛在顧客資料，並提出客戶行銷建議。
2.	透過資料探勘(Data mining)與大數據(Big data)進行客戶行為分析， 建立預測模型找出精準及潛在客群，提升行銷、推薦和廣告成效。
3.	有效利用各項分析數據指標，提供各事業單位營運上分析觀察與建議。
4.	跨部門溝通協調。","市場調查／市場分析,其他專案管理師","月薪38,000~58,000元",新北市汐止區,3年以上,大學,"商業及管理學科類,數學及電算機科學學科類,工程學科類","PL/SQL,Excel","一、個人特質：
(一)邏輯思考、分析判斷、溝通能力佳
(二)喜好主動探索事務或思考、學習新知，且學習能力佳
(三)主動細心、正面思考、工作態度積極 
二、專業：
(一)具統計學基礎
(二)具備資料庫系統基礎概念，能理解關連式資料庫結構以及運用基礎SQL語法撈取資料
(三)具Data Mining模型建置實務經驗尤佳
(四)對大數據(Big data)分析相關經驗研究者，熟悉R 軟體語言及應用者尤佳
(五)具Text Mining分析經驗者尤佳
(六)操作過NoSQL資料庫經驗者佳
(七)具CRM 相關經驗者佳
(八)具研究報告撰寫、簡報能力",https://www.104.com.tw/job/4u5lb?jobsource=jolist_a_relevance
5,2021-02-14 17:58:06,數據分析師,25,2/03,雲端數據分析師_資料科學家,銓鍇國際股份有限公司,https://www.104.com.tw/company/oi9jwzs?jobsource=jolist_a_relevance,網際網路相關業,"1. AWS雲端服務架構分析、概念驗證、移轉規劃與實施。
2. AWS 雲端 AI/大數據分析。
3. 客戶雲端架構管理及問題諮詢處理。
4. 支援教育訓練及行銷活動之講師。

工作條件：
1. 對至少一項程式語言有足夠瞭解的信心 (我們目前使用 PHP 及 Go，Serverless 使用 Python 及 Node.js)。
2. 瞭解版本控管，並實際使用過 Git/GitHub。
3. 熟悉 RMDB (SQL-Server/PostgreSQL/MySQL/Oracle) 以及 NoSQL (MongoDB/Redis/DynamoDB)。 
4. 有大數據平台建置經驗 (Hadoop/Spark/Hive)。
5. 執行大數據資料 ETL 及視覺化的能力

加分項目：
1. 具AWS, Azure, Google Cloud Platform...等國際雲端服務之使用經驗佳。
2. 具備 AIOT/機器學習並使用過 AWS SageMaker 經驗者尤佳。
3. 具備 AWS Serverless/Lambda 開發經驗者尤佳。 
4. 具 AWS 助理架構師認證或 GCP 相關認證佳。
5. 對於學習新技術有熱忱者。","系統維護／操作人員,網路管理工程師",待遇面議,新北市中和區,經歷不拘,專科,,,"1. 認真負責，良好溝通能力，團隊配合度高。
2. 豐富的客戶提案開發與服務經驗。
3. 具虛擬化的基礎佳。
4. 抗壓性及適應能力強、有團隊合作精神。
5. 具資訊安全認證或相關訓練尤佳(如：個資、ISO27001、ISO20000、ITIL等)。",https://www.104.com.tw/job/4wlhn?jobsource=jolist_a_relevance
6,2021-02-14 17:58:06,數據分析師,25,2/09,P0700B25-01【數位行銷】數據分析師,易遊網股份有限公司,https://www.104.com.tw/company/wdhagx4?jobsource=jolist_a_relevance,網際網路相關業,"1.負責網站/App流量監控、釐清數據、資料分析、發掘問題，提供數據分析報告建議與諮詢。
2.熟悉並可充分應用 Google Analytics 數據，熟知各維度、指標定義，針對各產品線提供見解。
3.依據不同商業目標，應用Google Analytics維度、指標與Data Studio建立 Dashboards。
4.	各種新媒體、分析工具應用。","市場調查／市場分析,行銷企劃人員,網站行銷企劃",待遇面議,台北市中山區,經歷不拘,大學,,Google Analytics,"◎工作技能 
1.熟悉 Web & APP 數位行為/流量監測，分析工具：Google Analytics、Firebase、AppsFlyer等 
2.數位行銷工具與數據平台串接，Google Tag Manager 設定、Google Analytics 事件追蹤及 UTM 使用
3.應用 Dashboard 工具(Google Data Studio、Metabase等)，視覺化呈現數據資料 & 應用
4.協助各業務單位、行銷部門釐清/分析數據、發掘問題，提供數據分析報告、建議與諮詢
5.各種新媒體、分析工具應用
6.具備良好表達與溝通能力，擁有跨部門溝通與合作經驗，並擅長報表、圖表、簡報之分析工具使用 

◎擅長工具
1. Google Analytics

◎其他技能
1.具備Google Analytics Individual Qualification
2.若有實際行銷應用範例、數據分析報告，可於投遞職缺時提供範例
3.對網站/App系統、資料庫具基本概念
",https://www.104.com.tw/job/6rglt?jobsource=jolist_a_relevance
7,2021-02-14 17:58:06,數據分析師,25,1/30,【創生處】 Python 數據分析師,資策會_財團法人資訊工業策進會,https://www.104.com.tw/company/2byd7nl?jobsource=jolist_a_relevance,電腦軟體服務業,"1.Python 語法及分析步驟經驗
2.資料庫 CRUD 等應用能力經驗
3.前處理、ETL及特徵轉換經驗佳
4.科技趨勢研究、專利提案及撰寫專案計畫規格
5.研發論文、閱讀及分享能力
6.協助工廠內部大數據應用、分析及監測相關應用

","軟體設計工程師,演算法開發工程師",待遇面議,南投縣南投市,經歷不拘,碩士,數學及電算機科學學科類,"Java,Python,MySQL,PostgreSQL",,https://www.104.com.tw/job/76ger?jobsource=jolist_a_relevance
8,2021-02-14 17:58:06,數據分析師,25,1/15,【數據發展部】助理數據分析師,聯合報股份有限公司,https://www.104.com.tw/company/1quaxzk?jobsource=jolist_a_relevance,其他出版業,"1.	擔任精準廣告溝通橋樑，負責監控、優化、管理專案進度。
2.	定期分析廣告/EDM成效，透過 SQL操作，整理數據分析簡報。
3.	收集產業/媒體/產品等相關資料，協助團隊瞭解數據資料的運用與成效。
4.	負責廣告/EDM帳務核銷作業與請款流程。
5.	主管交辦事項處理","資訊助理人員,其他專案管理師","月薪34,000~45,000元",新北市汐止區,1年以上,大學,"商業及管理學科類,數學及電算機科學學科類,工業技藝及機械學科類","Python,Excel,SPSS","1.	有一年以上的廣告代理商經驗佳。
2.	統計相關科系畢業，優先錄取。
3.	個性主動、積極、充滿工作熱忱。
4.	口條清晰、具備超強溝通能力。
5.     具備分析邏輯能力
6.     擅長使用 : Data Mining、R、SQL、其他Big Data分析工具",https://www.104.com.tw/job/70mim?jobsource=jolist_a_relevance
9,2021-02-14 17:58:06,數據分析師,25,1/28,數據分析師(專案企劃),博聯生技股份有限公司,https://www.104.com.tw/company/1a2x6bl45x?jobsource=jolist_a_relevance,其他醫療保健服務業,"1.資料建置、數據統計並製作業務團隊數據報表
2.整合資源為團隊提供服務，包括數據支持、依據分析提出建議
3.撰寫分析與文案報告，根據分析建構規劃專案
4.文件製作、追蹤、管理
5.表單製作、追蹤、管理
6.協助處理主管交辦之事項","行政人員,其他專案管理師,主管特別助理","月薪30,000元以上",台北市松山區,2年以上,高中,,"Excel,PowerPoint,Word","細心、具責任感、學習力強者佳
精通Excel或其他數據工具
統計或資料處理背景者佳",https://www.104.com.tw/job/74vnw?jobsource=jolist_a_relevance
10,2021-02-14 17:58:06,數據分析師,25,2/01,【PropTech數位人才招募】數據科學家/數據分析師,信義房屋股份有限公司,https://www.104.com.tw/company/a9pjy3k?jobsource=jolist_a_relevance,不動產經營業,"【關於PropTech數位人才招募計劃】
信義企業集團的各項產品與計畫正融入大數據、機器學習與人工智慧等應用，我們的數位團隊也持續致力於「房地產科技創新」與「數位居住生活」兩大面向，以創新智能工具，為使用者提供超乎想像的服務體驗。
我們希望讓居住在這片土地上的人們，在「不動產交易買賣」與「居住生活日常」有更好的保障與體驗，也期待你與我們一起，加速這個改變。
這裡匯聚了40年的集團產業資源，以及多元化的人才；接下來，想邀請你加入，與我們一起創造超乎想像的體驗，成就即將到來的未來！

【職務說明】
1.將集團內商業問題轉化為可衡量的分析命題，協助各部門優化與改善現有流程，提升效率。
2.建構適合組織成長的應用數據指標與優化方法、進行試驗設計統籌規劃。
3.建立客戶標籤與行為預測等數據模型，並與數位行銷團隊密切合作，評量追蹤活動成效。
4.透過統計方法、資料採礦與數據視覺化，追蹤並了解客戶服務歷程與行為模式，規劃最佳服務與銷售決策建議
5.分析並詮釋使用者行為模式與偏好，進行用戶行為分析與預測。
6.規劃並執行數據相關的分析專案。","市場調查／市場分析,演算法開發工程師,其他資訊專業人員",待遇面議,台北市信義區,3年以上,大學,"數理統計相關,資訊管理相關,經濟社會及心理學科類","Python,R,Tableau,Power BI​","1.2年以上獨立分析專案的經驗
2.對數據分析解決商業問題有高度興趣者
3.熟悉一種以上的分析相關的工具或程式：R、Python、SQL..
4.邏輯思考能力強，且具良好溝通能力
5.有耐心，思考清晰有條理、能換位溝通最重要
加分條件：
1. 數據視覺化與成果視覺化的能力：Tableau、Power BI、Qlikview 等
2.有實戰經驗：對商業議題能釐清並評估需求、定義假說並進行實驗設計、驗證優化後完成觀察指標設計。
3.具備機器學習、統計分析、資料探勘之研究背景，對方法原理有扎實的理解，能確實比較各演算法在應用上的優劣。
4.具有專案規劃與目標導向的統籌管理能力

持有「數位人才探索計畫」相關證照申請者有優先面試機會
（機器學習課程，詳情請洽數位人才探索計畫網站）",https://www.104.com.tw/job/76bum?jobsource=jolist_a_relevance
11,2021-02-14 17:58:06,數據分析師,25,2/13,數據分析師,拓騰數據科技有限公司,https://www.104.com.tw/company/1a2x6bl7s2?jobsource=jolist_a_relevance,綜合商品批發代理業,"工作職掌： 
1.根據數據發現業務提升點、發揮數據價值導向，能深入了解各平台廣告投放規則，給予有效的運營類數據投放方案； 
2.運營類數據採集、管理、分析與應用全流程工作； 
3.調動公司內部資源，實現數據驅動業務的落地與迭代； 
4.結合行業經驗與方法論，提供專業的分析報告； 
5.與產品部門、技術部門配合不斷提升運營數據的科學性與準確性。 

職務要求： 
1.三年以上海外電子商務/互聯網/廣告/運營/行銷 行業數據分析經驗；大學及以上學歷或國際名校畢業，數學/統計/電子商務/行銷 等專業優先； 
2.具備優秀的數據分析能力，有豐富的數據驅動業務的實戰經驗； 
3.熟練使用統計分析工具，邏輯嚴謹，能夠獨立分析和解決問題； 
4.具備優秀的溝通意識，良好的現場表達能力，能夠獨立負責和跟進項目； 
5.熟悉數據平台的整體搭建，熟練使用 SQL / R / Python / Excel等工具； 
6.具備極強的學習能力和自我驅動意識，能夠發現問題並解決問題。","電子商務技術主管,營運管理師／系統整合／ERP專案師,市場調查／市場分析","月薪38,000~60,000元",台北市中山區,1年以上,大學,,,,https://www.104.com.tw/job/6yrh3?jobsource=jolist_a_relevance
12,2021-02-14 17:58:06,數據分析師,25,2/04,數據分析師【商周集團-數據商業中心】,商周集團_商周編輯顧問股份有限公司,https://www.104.com.tw/company/13n5xbo0?jobsource=jolist_a_relevance,雜誌／期刊出版業,"1.喜歡依據業務主題，挖掘數據價值，產出報告供決策參考。
2.數據探勘。
3.數據研究報告撰寫。
4.規劃數據分析模型(加分項)。
5.執行數據分析相關專案及主管交辦事項。
6.目前主負責APP業務相關分析。","行銷企劃人員,網站行銷企劃,市場調查／市場分析",待遇面議,台北市中山區,3年以上,大學,"資訊管理相關,統計學相關,一般商業學類","Python,MS SQL,Excel,Tableau,Power BI​","1.      精通統計理論相關知識，並有數據分析實際經驗尤佳。
2.      精通任一個工具-Excel樞紐分析、Tableau、Power BI。
3.      熟練掌握任一個建模工具尤佳- Python、R語言。
4.      熟悉視覺化工具，如Tableau、Power BI等。
5.      會使用MS SQL。
6.      具備良好表達與溝通能力。",https://www.104.com.tw/job/712jg?jobsource=jolist_a_relevance
